seccion,distrito17,seccion,distrito06
1,5,1,5
2,5,2,5
3,5,3,5
4,5,4,5
5,5,5,5
6,5,6,5
7,2,7,2
8,2,8,2
9,2,9,2
10,2,10,2
11,2,11,2
12,2,12,2
13,2,13,2
14,5,14,5
15,5,15,5
16,5,16,5
17,5,17,5
18,5,18,5
20,2,20,2
21,2,21,2
22,2,22,2
23,2,23,2
24,2,24,2
25,2,25,2
26,2,26,2
27,1,27,2
28,1,28,2
29,1,29,2
30,1,30,2
31,1,31,2
32,1,32,2
33,2,33,2
34,2,34,2
35,2,35,2
36,2,36,2
37,1,37,1
38,1,38,1
39,1,39,1
40,1,40,1
41,2,41,2
42,2,42,2
43,2,43,2
44,2,44,2
45,2,45,2
46,2,46,2
47,5,47,1
48,5,48,1
49,5,49,1
50,2,50,5
51,2,51,5
52,2,52,5
53,2,53,5
54,1,54,1
55,1,55,1
56,1,56,1
57,1,57,1
58,1,58,1
59,2,59,2
60,2,60,2
61,2,61,2
62,2,62,2
63,2,63,2
64,2,64,2
65,1,65,1
66,1,66,1
67,5,67,5
68,5,68,5
69,5,69,5
70,5,70,1
71,1,71,1
72,1,72,1
73,1,73,1
74,1,74,1
75,5,75,5
76,5,76,5
77,5,77,5
78,1,78,1
79,1,79,1
80,1,80,1
81,1,81,1
82,1,82,1
83,1,83,1
84,1,84,1
85,1,85,1
86,1,86,1
87,1,87,1
88,1,88,1
89,1,89,1
90,1,90,1
91,2,91,2
92,2,92,2
93,1,93,1
94,1,94,1
95,1,95,1
96,1,96,1
97,1,97,1
98,1,98,1
99,1,99,1
101,1,101,1
102,1,102,1
103,5,103,5
104,5,104,5
105,5,105,5
106,5,106,5
107,5,107,5
108,5,108,5
109,5,109,5
110,2,110,2
111,2,111,2
112,2,112,2
113,2,113,2
114,1,114,2
115,1,115,2
116,1,116,2
117,1,117,2
118,1,118,2
120,1,120,2
121,1,121,2
122,1,122,2
123,1,123,2
124,1,124,2
125,1,125,2
126,1,126,2
127,1,127,1
128,1,128,1
129,1,129,1
130,1,130,1
131,1,131,2
132,1,132,2
133,1,133,2
134,1,134,1
135,1,135,1
136,1,136,1
137,1,137,1
138,1,138,1
139,1,139,1
140,1,140,1
141,1,141,1
142,5,142,5
143,5,143,5
144,5,144,5
145,5,145,5
146,5,146,5
147,5,147,5
148,5,148,5
149,5,149,5
150,5,150,5
151,5,151,5
152,2,152,2
153,2,153,2
154,2,154,2
155,2,155,2
156,2,156,2
157,2,157,2
158,2,158,2
159,2,159,2
160,2,160,2
161,2,161,2
162,5,162,5
163,5,163,5
164,5,164,5
165,5,165,5
166,5,166,5
167,5,167,5
168,5,168,5
169,5,169,5
170,5,170,5
171,5,171,5
172,2,172,5
173,2,173,5
174,2,174,5
175,2,175,5
176,2,176,5
177,2,177,5
178,2,178,5
179,2,179,5
180,2,180,5
181,2,181,5
182,2,182,5
183,2,183,5
184,2,184,5
185,2,185,5
186,2,186,5
187,2,187,2
188,2,188,2
189,1,189,2
190,1,190,2
191,1,191,2
192,1,192,2
193,1,193,2
194,1,194,2
195,1,195,2
196,1,196,2
197,1,197,2
198,1,198,2
199,1,199,2
200,1,200,2
201,1,201,2
202,1,202,2
203,1,203,2
204,2,204,2
205,2,205,2
206,2,206,2
207,2,207,2
208,2,208,2
209,2,209,2
210,2,210,2
211,2,211,2
212,2,212,2
213,2,213,2
214,2,214,2
215,2,215,2
216,2,216,2
217,2,217,2
218,2,218,2
219,2,219,2
220,2,220,2
221,2,221,2
222,2,222,2
223,2,223,2
224,1,224,1
225,1,225,1
226,1,226,1
227,1,227,1
228,2,228,5
229,2,229,5
230,2,230,5
231,2,231,5
232,5,232,5
233,5,233,5
234,5,234,5
235,5,235,5
236,5,236,5
237,5,237,5
238,5,238,5
239,5,239,5
240,5,240,5
241,5,241,5
242,5,242,5
243,5,243,5
244,5,244,5
245,5,245,5
246,5,246,5
247,5,247,5
248,5,248,5
249,5,249,5
250,5,250,5
251,5,251,5
252,5,252,5
253,5,253,5
254,4,254,3
255,4,255,3
256,4,256,3
257,4,257,3
258,4,258,3
259,4,259,3
260,4,260,3
261,4,261,4
262,4,262,4
263,4,263,4
264,4,264,4
265,4,265,4
266,4,266,4
267,4,267,3
268,4,268,3
270,4,270,3
271,4,271,3
272,4,272,3
273,4,273,4
274,4,274,4
275,4,275,4
276,4,276,4
277,4,277,4
278,4,278,4
279,4,279,4
280,4,280,4
281,4,281,4
282,4,282,4
283,4,283,4
284,4,284,4
285,4,285,3
286,4,286,3
287,4,287,3
288,4,288,3
289,4,289,3
290,4,290,3
291,4,291,3
292,4,292,3
293,4,293,3
294,4,294,3
295,4,295,3
296,4,296,4
297,4,297,4
298,4,298,4
299,4,299,4
300,4,300,4
301,4,301,4
302,4,302,4
303,4,303,4
304,4,304,4
305,4,305,4
306,4,306,4
307,4,307,4
308,3,308,3
309,3,309,3
310,3,310,3
311,3,311,3
312,3,312,3
313,3,313,3
314,4,314,3
315,4,315,3
316,4,316,3
317,4,317,4
318,4,318,4
319,4,319,4
320,4,320,4
321,4,321,4
322,4,322,4
323,4,323,4
324,4,324,4
325,4,325,4
326,4,326,4
327,4,327,4
328,4,328,4
329,4,329,4
330,4,330,4
331,4,331,4
332,4,332,4
333,4,333,4
334,4,334,4
335,4,335,4
336,4,336,4
337,4,337,4
338,4,338,3
339,3,339,3
340,3,340,3
341,3,341,3
342,3,342,3
343,3,343,3
344,3,344,3
345,3,345,3
346,3,346,3
347,3,347,3
348,3,348,3
349,3,349,3
350,3,350,3
351,3,351,3
352,3,352,3
353,4,353,4
354,4,354,4
355,4,355,4
356,4,356,4
357,4,357,4
358,4,358,4
359,4,359,4
360,4,360,4
361,4,361,4
362,4,362,4
363,4,363,4
364,4,364,4
365,3,365,3
366,3,366,3
367,3,367,3
368,3,368,3
369,3,369,3
370,3,370,3
371,3,371,3
372,3,372,3
373,3,373,3
374,3,374,3
375,3,375,3
376,3,376,3
377,3,377,3
378,3,378,3
379,3,379,3
380,3,380,3
381,3,381,3
382,3,382,3
383,3,383,3
384,3,384,3
385,3,385,3
386,3,386,3
387,3,387,3
388,3,388,3
389,3,389,3
390,3,390,3
391,3,391,3
392,3,392,3
393,3,393,3
394,3,394,3
395,4,395,4
396,4,396,4
397,4,397,4
398,4,398,4
399,4,399,4
400,4,400,4
401,4,401,4
402,4,402,4
403,4,403,4
404,4,404,4
405,4,405,4
406,4,406,4
407,4,407,4
408,4,408,4
409,4,409,4
410,3,410,3
411,3,411,3
412,3,412,3
413,3,413,3
414,3,414,3
415,3,415,3
416,3,416,3
417,3,417,3
418,3,418,3
419,3,419,3
420,3,420,3
421,3,421,3
